O_score,C_score,E_score,A_score,N_score,Numerical Aptitude,Spatial Aptitude,Perceptual Aptitude,Abstract Reasoning,Verbal Reasoning,Career
5.45,8.67,3.45,5.34,4.23,7.06,4.4,3.84,4.84,7.01,Księgowy
5.45,8.67,3.45,5.34,4.23,5.1,3.42,2.2,5.33,3.79,Księgowy
6.46,9.68,4.46,6.35,5.24,5.81,4.12,2.3,6.13,4.5,Księgowy
7.45,8.67,5.23,7.67,6.01,8.06,6.45,5.62,6.73,8.17,Urzędnik administracyjny
7.65,8.87,5.43,7.87,6.21,8.26,6.65,5.82,6.93,8.37,Urzędnik administracyjny
7.45,8.67,5.23,7.67,6.01,5.7,4.77,1.67,6.33,5.26,Urzędnik administracyjny
7.65,8.87,5.43,7.87,6.21,5.84,4.91,1.69,6.49,5.4,Urzędnik administracyjny
8.46,9.68,6.24,8.68,7.02,6.41,5.48,1.77,7.13,5.97,Urzędnik administracyjny
8.66,9.88,6.44,8.88,7.22,6.55,5.62,1.79,7.29,6.11,Urzędnik administracyjny
7.67,6.12,8.78,7.45,6.45,6.9,8.12,7.62,7.06,6.79,Dyrektor ds. reklamy
7.87,6.32,8.98,7.65,6.65,7.1,8.32,7.82,7.26,6.99,Dyrektor ds. reklamy
7.67,6.12,8.78,7.45,6.45,4.75,5.59,0.51,5.67,5.33,Dyrektor ds. reklamy
7.87,6.32,8.98,7.65,6.65,4.89,5.73,0.53,5.83,5.47,Dyrektor ds. reklamy
8.68,7.13,9.79,8.46,7.46,5.46,6.3,0.61,6.48,6.03,Dyrektor ds. reklamy
8.88,7.33,5.45,8.66,7.66,5.6,5.53,0.63,6.64,6.17,Dyrektor ds. reklamy
7.23,7.67,4.23,5.45,4.89,7.45,4.84,4.56,6.06,6.56,Inżynier lotnictwa
7.43,7.87,4.43,5.65,5.09,7.65,5.04,4.76,6.26,6.76,Inżynier lotnictwa
7.23,7.67,4.23,5.45,4.89,5.24,4.46,1.6,5.92,4.71,Inżynier lotnictwa
7.43,7.87,4.43,5.65,5.09,5.38,4.6,1.62,6.08,4.85,Inżynier lotnictwa
8.24,8.68,5.24,6.46,5.9,5.94,5.17,1.7,6.72,5.41,Inżynier lotnictwa
8.44,8.88,5.44,6.66,6.1,6.08,5.31,1.72,6.88,5.55,Inżynier lotnictwa
5.12,8.89,4.34,5.45,4.78,7.01,4.9,4.56,4.95,7.17,Kontroler ruchu lotniczego
5.12,9.23,4.34,5.45,2.67,7.18,4.9,3.51,3.9,7.34,Kontroler ruchu lotniczego
4.92,9.03,4.14,5.25,2.47,6.98,4.7,3.31,3.7,7.14,Kontroler ruchu lotniczego
5.12,8.89,4.34,5.45,4.78,5.09,3.43,2.12,5.23,3.65,Kontroler ruchu lotniczego
5.12,9.23,4.34,5.45,2.67,5.23,3.43,2.89,5.33,3.65,Kontroler ruchu lotniczego
4.92,9.03,4.14,5.25,2.47,5.09,3.29,2.87,5.17,3.51,Kontroler ruchu lotniczego
6.13,9.9,5.35,6.46,5.79,5.8,4.14,2.22,6.04,4.36,Kontroler ruchu lotniczego
6.13,5.6,5.35,6.46,3.68,4.08,4.14,1.14,4.75,4.36,Kontroler ruchu lotniczego
5.93,10.04,5.15,6.26,3.48,5.8,4.0,2.97,5.98,4.22,Kontroler ruchu lotniczego
4.34,8.89,4.78,6.45,5.45,6.62,5.62,5.12,4.9,7.67,Pilot linii lotniczych
4.34,8.89,4.78,6.45,2.33,6.62,5.62,3.56,3.34,7.67,Pilot linii lotniczych
4.14,8.69,4.58,6.25,2.13,6.42,5.42,3.36,3.14,7.47,Pilot linii lotniczych
4.34,8.89,4.78,6.45,5.45,4.86,3.13,1.92,4.84,3.46,Pilot linii lotniczych
4.34,8.89,4.78,6.45,2.33,4.86,3.13,2.86,4.84,3.46,Pilot linii lotniczych
4.14,8.69,4.58,6.25,2.13,4.72,2.99,2.84,4.68,3.32,Pilot linii lotniczych
5.35,9.9,5.79,7.46,6.46,5.57,3.83,2.02,5.65,4.17,Pilot linii lotniczych
5.35,9.9,5.79,7.46,3.34,5.57,3.83,2.96,5.65,4.17,Pilot linii lotniczych
5.15,9.7,5.59,7.26,3.14,5.43,3.69,2.94,5.49,4.03,Pilot linii lotniczych
8.45,7.01,5.34,5.45,4.56,7.73,5.4,4.95,6.51,6.23,Architekt
8.45,7.01,5.34,5.45,4.56,5.34,5.29,1.44,6.33,5.32,Architekt
9.46,8.02,6.35,6.46,5.57,6.05,6.0,1.54,7.14,6.02,Architekt
9.34,3.56,7.23,6.78,5.45,6.45,7.01,6.34,7.4,5.17,Artysta
9.34,3.56,7.23,6.78,5.45,4.23,6.12,0.21,5.74,6.03,Artysta
8.1,4.57,8.24,7.79,6.46,4.26,5.7,0.11,5.42,5.61,Artysta
9.45,8.01,4.67,5.56,4.01,8.73,5.12,4.34,6.73,6.79,Astronom
9.45,8.01,4.67,5.56,4.01,6.04,5.66,2.0,7.13,5.84,Astronom
8.23,9.02,5.68,6.57,5.02,6.08,5.25,2.1,6.82,5.43,Astronom
5.12,9.23,4.34,5.45,2.67,7.18,4.9,3.51,3.9,7.34,Inspektor bezpieczeństwa lotniczego
5.12,9.23,4.34,5.45,2.67,5.23,3.43,2.89,5.33,3.65,Inspektor bezpieczeństwa lotniczego
6.13,10.24,5.35,6.46,3.68,5.94,4.14,2.99,6.14,4.36,Inspektor bezpieczeństwa lotniczego
7.01,7.78,5.23,9.12,6.01,7.4,7.18,5.62,6.51,8.45,Terapeuta behawioralny
6.01,7.78,5.23,9.34,6.45,6.9,7.29,5.84,6.23,8.56,Terapeuta behawioralny
7.01,7.78,5.23,9.12,6.01,5.22,4.55,1.31,5.84,5.33,Terapeuta behawioralny
6.01,7.78,5.23,9.34,6.45,4.92,4.05,1.18,5.34,4.87,Terapeuta behawioralny
8.02,8.79,6.24,10.13,7.02,5.92,5.26,1.41,6.65,6.04,Terapeuta behawioralny
7.02,8.79,6.24,9.12,7.46,5.62,4.76,1.28,6.15,5.33,Terapeuta behawioralny
8.78,7.67,3.67,6.45,5.34,8.23,5.06,4.51,7.06,7.06,Biolog
8.78,7.67,3.67,6.45,5.34,5.7,5.12,1.47,6.69,5.68,Biolog
9.79,8.68,4.68,7.46,6.35,6.41,5.83,1.57,7.5,6.39,Biolog
