O_score,C_score,E_score,A_score,N_score,Career
5.45,8.67,3.45,5.34,4.23,Księgowy
5.45,8.67,3.45,5.34,4.23,Księgowy
6.46,9.68,4.46,6.35,5.24,Księgowy
7.45,8.67,5.23,7.67,6.01,Urzędnik administracyjny
7.65,8.87,5.43,7.87,6.21,Urzędnik administracyjny
7.45,8.67,5.23,7.67,6.01,Urzędnik administracyjny
7.65,8.87,5.43,7.87,6.21,Urzędnik administracyjny
8.46,9.68,6.24,8.68,7.02,Urzędnik administracyjny
8.66,9.88,6.44,8.88,7.22,Urzędnik administracyjny
7.67,6.12,8.78,7.45,6.45,Dyrektor ds. reklamy
7.87,6.32,8.98,7.65,6.65,Dyrektor ds. reklamy
7.67,6.12,8.78,7.45,6.45,Dyrektor ds. reklamy
7.87,6.32,8.98,7.65,6.65,Dyrektor ds. reklamy
8.68,7.13,9.79,8.46,7.46,Dyrektor ds. reklamy
8.88,7.33,5.45,8.66,7.66,Dyrektor ds. reklamy
7.23,7.67,4.23,5.45,4.89,Inżynier lotnictwa
7.43,7.87,4.43,5.65,5.09,Inżynier lotnictwa
7.23,7.67,4.23,5.45,4.89,Inżynier lotnictwa
7.43,7.87,4.43,5.65,5.09,Inżynier lotnictwa
8.24,8.68,5.24,6.46,5.9,Inżynier lotnictwa
8.44,8.88,5.44,6.66,6.1,Inżynier lotnictwa
5.12,8.89,4.34,5.45,4.78,Kontroler ruchu lotniczego
5.12,9.23,4.34,5.45,2.67,Kontroler ruchu lotniczego
4.92,9.03,4.14,5.25,2.47,Kontroler ruchu lotniczego
5.12,8.89,4.34,5.45,4.78,Kontroler ruchu lotniczego
5.12,9.23,4.34,5.45,2.67,Kontroler ruchu lotniczego
4.92,9.03,4.14,5.25,2.47,Kontroler ruchu lotniczego
6.13,9.9,5.35,6.46,5.79,Kontroler ruchu lotniczego
6.13,5.6,5.35,6.46,3.68,Kontroler ruchu lotniczego
5.93,10.04,5.15,6.26,3.48,Kontroler ruchu lotniczego
4.34,8.89,4.78,6.45,5.45,Pilot linii lotniczych
4.34,8.89,4.78,6.45,2.33,Pilot linii lotniczych
4.14,8.69,4.58,6.25,2.13,Pilot linii lotniczych
4.34,8.89,4.78,6.45,5.45,Pilot linii lotniczych
4.34,8.89,4.78,6.45,2.33,Pilot linii lotniczych
4.14,8.69,4.58,6.25,2.13,Pilot linii lotniczych
5.35,9.9,5.79,7.46,6.46,Pilot linii lotniczych
5.35,9.9,5.79,7.46,3.34,Pilot linii lotniczych
5.15,9.7,5.59,7.26,3.14,Pilot linii lotniczych
8.45,7.01,5.34,5.45,4.56,Architekt
8.45,7.01,5.34,5.45,4.56,Architekt
9.46,8.02,6.35,6.46,5.57,Architekt
9.34,3.56,7.23,6.78,5.45,Artysta
9.34,3.56,7.23,6.78,5.45,Artysta
8.1,4.57,8.24,7.79,6.46,Artysta
9.45,8.01,4.67,5.56,4.01,Astronom
9.45,8.01,4.67,5.56,4.01,Astronom
8.23,9.02,5.68,6.57,5.02,Astronom
5.12,9.23,4.34,5.45,2.67,Inspektor bezpieczeństwa lotniczego
5.12,9.23,4.34,5.45,2.67,Inspektor bezpieczeństwa lotniczego
6.13,10.24,5.35,6.46,3.68,Inspektor bezpieczeństwa lotniczego
7.01,7.78,5.23,9.12,6.01,Terapeuta behawioralny
6.01,7.78,5.23,9.34,6.45,Terapeuta behawioralny
7.01,7.78,5.23,9.12,6.01,Terapeuta behawioralny
6.01,7.78,5.23,9.34,6.45,Terapeuta behawioralny
8.02,8.79,6.24,10.13,7.02,Terapeuta behawioralny
7.02,8.79,6.24,9.12,7.46,Terapeuta behawioralny
8.78,7.67,3.67,6.45,5.34,Biolog
8.78,7.67,3.67,6.45,5.34,Biolog
9.79,8.68,4.68,7.46,6.35,Biolog
7.89,7.67,4.01,5.23,4.56,Inżynier biomedyczny
7.89,7.67,4.01,5.23,4.56,Inżynier biomedyczny
8.9,8.68,5.02,6.24,5.57,Inżynier biomedyczny
9.23,7.67,4.23,5.12,4.67,Badacz biomedyczny
9.43,7.87,4.43,5.32,4.87,Badacz biomedyczny
9.23,7.67,4.23,5.12,4.67,Badacz biomedyczny
9.43,7.87,4.43,5.32,4.87,Badacz biomedyczny
9.1,8.68,5.24,6.13,5.68,Badacz biomedyczny
8.34,8.88,5.44,6.33,5.88,Badacz biomedyczny
8.78,7.67,4.01,5.23,4.56,Biotechnolog
8.78,7.67,4.01,5.23,4.56,Biotechnolog
9.79,8.68,5.02,6.24,5.57,Biotechnolog
6.78,6.45,8.45,7.67,4.56,Szef kuchni
6.78,6.45,8.45,7.67,4.56,Szef kuchni
7.79,7.46,9.46,8.68,5.57,Szef kuchni
6.01,7.67,5.23,9.12,6.45,Chiropraktyk
6.21,7.87,5.43,9.32,6.65,Chiropraktyk
6.01,7.67,5.23,9.12,6.45,Chiropraktyk
6.21,7.87,5.43,9.32,6.65,Chiropraktyk
7.02,8.68,6.24,9.12,7.46,Chiropraktyk
7.22,8.88,7.65,8.23,7.66,Chiropraktyk
6.78,8.67,4.23,5.23,4.67,Inżynier budownictwa
